district,tip_doma,jk,year,floor,area,toilet,parking,status,num_rooms,price
Алматы,монолитный,Томирис,2020,3,"74 м², Площадь кухни — 8.7 м²",,,"не новый, но аккуратный ремонт",3,41 000 000〒
Сарыарка,монолитный,Мирный дом,2024,4,"43.5 м², Площадь кухни — 21 м²",,,свежий ремонт,2,30 000 000〒
Сарайшык,кирпичный,Kemenger,2025,9,50.5 м²,,паркинг,,2,36 500 000〒
Сарыарка,монолитный,Легенда,2023,9,"45 м², Площадь кухни — 19 м²",,,свежий ремонт,2,27 400 000〒
Есильский,монолитный,Capital Park. Art,2026,,52.23 м²,совмещенный,,,2,
Сарайшык,монолитный,Амирель,2023,,31.28 м²,совмещенный,,,1,
Нура,кирпичный,Qaiyndy 3,2025,9,54 м²,,,свежий ремонт,2,33 500 000〒
Нура,монолитный,Delta,2025,9,66.4 м²,,паркинг,,2,33 900 000〒
Нура,монолитный,Delta,2024,8,116.8 м²,,паркинг,,4,59 500 000〒
Байконур,кирпичный,,2001,10,"103.3 м², Площадь кухни — 12.7 м²",2 с/у и более,,свежий ремонт,3,48 000 000〒
Сарыарка,монолитный,Свечки,1999,14,"87.6 м², Площадь кухни — 10.8 м²",2 с/у и более,,,3,29 000 000〒
Нура,монолитный,Delta,2025,9,66.4 м²,,паркинг,,2,33 900 000〒
Нура,монолитный,Delta,2024,8,116.8 м²,,паркинг,,4,59 500 000〒
Байконур,кирпичный,,2001,10,"103.3 м², Площадь кухни — 12.7 м²",2 с/у и более,,свежий ремонт,3,48 000 000〒
Сарыарка,монолитный,Свечки,1999,14,"87.6 м², Площадь кухни — 10.8 м²",2 с/у и более,,,3,29 000 000〒
Сарыарка,кирпичный,Эталон,2010,3,"50 м², Площадь кухни — 8.4 м²",совмещенный,,,2,20 500 000〒
Есильский,кирпичный,Aq-Jol,2023,2,30.4 м²,,,свежий ремонт,1,17 700 000〒
Нура,монолитный,Highvill Park,2018,12,138 м²,,,"не новый, но аккуратный ремонт",4,105 000 000〒
Сарайшык,монолитный,Isma,2025,,119.69 м²,2 с/у и более,,,3,
Нура,монолитный,Respublika,2026,,68.9 м²,совмещенный,,,2,
Есильский,монолитный,Отандастар,2011,3,"58 м², жилая — 41.8 м², Площадь кухни — 11.8 м²",,,свежий ремонт,2,34 000 000〒
Нура,монолитный,Respublika,2024,2,"42.2 м², Площадь кухни — 13.2 м²",совмещенный,,,1,32 300 000〒
Алматы,кирпичный,«Восток» (Бахус),2006,3,"39.4 м², Площадь кухни — 22.1 м²",совмещенный,,,1,19 500 000〒
Нура,кирпичный,Femida,2020,4,"53.5 м², Площадь кухни — 9.3 м²",,паркинг,,2,25 800 000〒
Сарыарка,кирпичный,AUEN,2025,4,"85 м², Площадь кухни — 11.5 м²",,,черновая отделка,3,39 500 000〒
Алматы,кирпичный,Каминный,2006,9,"179 м², Площадь кухни — 15 м²",2 с/у и более,,,3,81 700 000〒
Нура,монолитный,GreenLine. Garden,2027,,66.02 м²,совмещенный,,,2,
Есильский,монолитный,Aisar,2026,,114.41 м²,2 с/у и более,,,4,
Есильский,кирпичный,AQ Qayin,2021,3,36 м²,,,,1,26 500 000〒
Есильский,монолитный,Nexpo Trend,2025,16,"64 м², Площадь кухни — 11.71 м²",,паркинг,,2,52 000 000〒
Есильский,кирпичный,Triumph City,2020,10,48 м²,,паркинг,,2,32 500 000〒
Нура,монолитный,Respublika,2025,6,"70 м², Площадь кухни — 15 м²",,паркинг,,3,47 000 000〒
Алматы,панельный,,1989,5,67 м²,,,,3,24 500 000〒
Нура,кирпичный,,2021,12,124 м²,2 с/у и более,,,4,93 000 000〒
Есильский,кирпичный,Alma Park,2022,6,"80 м², Площадь кухни — 12 м²",,,свежий ремонт,3,63 900 000〒
Алматы,монолитный,DISCOVERY,2022,5,88.8 м²,2 с/у и более,,,3,61 500 000〒
Нура,монолитный,GreenLine. Garden,2026,,131.26 м²,2 с/у и более,,,4,
Есильский,монолитный,Aisar,2026,,78.53 м²,2 с/у и более,,,3,
Есильский,монолитный,Aisar,2026,3,38.35 м²,,паркинг,,1,23 500 000〒
Алматы,монолитный,Auez,2026,12,"72 м², Площадь кухни — 24 м²",,,требует ремонта,3,45 500 000〒
Нура,кирпичный,College,2020,8,"58 м², Площадь кухни — 10.1 м²",,,"не новый, но аккуратный ремонт",2,36 000 000〒
Алматы,кирпичный,Красная деревня,1997,4,"68 м², Площадь кухни — 11 м²",раздельный,,,2,29 700 000〒
,монолитный,Sensata Plaza,2023,6,"65 м², Площадь кухни — 12.4 м²",совмещенный,,,2,57 000 000〒
Сарайшык,кирпичный,Geneva 2,2024,12,"57.4 м², Площадь кухни — 10.2 м²",совмещенный,,,2,36 000 000〒
Алматы,панельный,,1970,2,47 м²,,,,2,19 000 000〒
Нура,кирпичный,TULGA,2026,,127.82 м²,2 с/у и более,,,4,
Нура,кирпичный,GreenLine. Verda,2026,,168.14 м²,2 с/у и более,,,5,
Есильский,монолитный,Бухар Жырау,2023,6,"121 м², Площадь кухни — 12.2 м²",,,свежий ремонт,4,97 000 000〒
Нура,кирпичный,Gala One,2026,2,"67.8 м², Площадь кухни — 10.6 м²",,паркинг,,2,38 000 000〒
Байконур,кирпичный,,2000,1,"118.3 м², Площадь кухни — 13.4 м²",,,,4,55 000 000〒
Есильский,монолитный,Комфорт De Luxe,2019,11,"44 м², Площадь кухни — 15 м²",,,свежий ремонт,1,32 500 000〒
Есильский,монолитный,Aisar,2026,,78.53 м²,2 с/у и более,,,3,
Есильский,монолитный,Aisar,2026,3,38.35 м²,,паркинг,,1,23 500 000〒
Нура,монолитный,GreenLine. Garden,2026,,131.26 м²,2 с/у и более,,,4,
Алматы,монолитный,Auez,2026,12,"72 м², Площадь кухни — 24 м²",,,требует ремонта,3,45 500 000〒
Нура,кирпичный,College,2020,8,"58 м², Площадь кухни — 10.1 м²",,,"не новый, но аккуратный ремонт",2,36 000 000〒
Алматы,кирпичный,Красная деревня,1997,4,"68 м², Площадь кухни — 11 м²",раздельный,,,2,29 700 000〒
,монолитный,Sensata Plaza,2023,6,"65 м², Площадь кухни — 12.4 м²",совмещенный,,,2,57 000 000〒
Сарайшык,кирпичный,Geneva 2,2024,12,"57.4 м², Площадь кухни — 10.2 м²",совмещенный,,,2,36 000 000〒
Алматы,панельный,,1970,2,47 м²,,,,2,19 000 000〒
Нура,кирпичный,TULGA,2026,,127.82 м²,2 с/у и более,,,4,
Нура,кирпичный,GreenLine. Verda,2026,,168.14 м²,2 с/у и более,,,5,
Есильский,монолитный,Бухар Жырау,2023,6,"121 м², Площадь кухни — 12.2 м²",,,свежий ремонт,4,97 000 000〒
Нура,кирпичный,Gala One,2026,2,"67.8 м², Площадь кухни — 10.6 м²",,паркинг,,2,38 000 000〒
Байконур,кирпичный,,2000,1,"118.3 м², Площадь кухни — 13.4 м²",,,,4,55 000 000〒
Есильский,монолитный,Комфорт De Luxe,2019,11,"44 м², Площадь кухни — 15 м²",,,свежий ремонт,1,32 500 000〒
Алматы,монолитный,,2014,12,74 м²,2 с/у и более,,,3,41 000 000〒
Алматы,монолитный,Bailyq,2025,4,"92 м², Площадь кухни — 14 м²",раздельный,,,3,55 000 000〒
Сарыарка,кирпичный,Арлан,2019,10,"42 м², Площадь кухни — 10 м²",,,,1,24 500 000〒
Есильский,монолитный,Уют,2008,6,"105 м², Площадь кухни — 15 м²",,,,4,52 500 000〒
Есильский,монолитный,MoD. Standard,2024,2,"52.6 м², Площадь кухни — 9.8 м²",,,свежий ремонт,2,39 990 000〒
Есильский,монолитный,MoD. Standard,2024,2,"52.6 м², Площадь кухни — 9.8 м²",,,свежий ремонт,2,39 990 000〒
Сарайшык,кирпичный,"Айдидар 3, 4",2022,8,"81.3 м², Площадь кухни — 10 м²",,,свежий ремонт,3,52 000 000〒
Нура,монолитный,Park City Forum,2025,,40.3 м²,совмещенный,,,1,
Есильский,монолитный,Capital Park. Art,2026,,137.76 м²,2 с/у и более,,,4,
Есильский,монолитный,MoD. Urban,2025,,161.84 м²,2 с/у и более,,,5,
Нура,монолитный,Delta,2024,,82.8 м²,2 с/у и более,,,3,
Алматы,монолитный,Highvill Ishim,2020,8,48 м²,,паркинг,,2,40 500 000〒
Сарыарка,монолитный,Махаббат-2,2009,2,81 м²,,,свежий ремонт,3,37 000 000〒
Алматы,кирпичный,Барыс,2014,7,"98.1 м², Площадь кухни — 15 м²",2 с/у и более,,,3,45 000 000〒
Нура,кирпичный,Аркада,2021,9,"93 м², Площадь кухни — 13 м²",2 с/у и более,,,3,65 000 000〒
Сарайшык,монолитный,,2021,4,81 м²,,,,3,35 000 000〒
Есильский,монолитный,MoD. Comfort,2025,1,40 м²,совмещенный,,,2,38 000 000〒
Есильский,монолитный,Nexpo Classic Style,2025,8,"97 м², Площадь кухни — 16.4 м²",2 с/у и более,,,3,90 000 000〒
Есильский,монолитный,Alan,2019,9,48.8 м²,,,,2,34 999 999〒
Есильский,кирпичный,,2025,5,"68.4 м², Площадь кухни — 10.5 м²",совмещенный,,свежий ремонт,2,28 000 000〒
Алматы,монолитный,Виктория,2009,3,100.6 м²,,паркинг,,4,52 000 000〒
Есильский,монолитный,Nexpo Aura,2026,,211.18 м²,2 с/у и более,,,5,
Нура,кирпичный,GreenLine. Verda,2026,,100.12 м²,2 с/у и более,,,3,
Нура,монолитный,Delta,2025,,116.8 м²,совмещенный,,,4,
Алматы,монолитный,Austria,2024,3,84 м²,2 с/у и более,,,3,113 500 000〒
Есильский,монолитный,Nexpo Classic Style,2025,8,"97 м², Площадь кухни — 16.4 м²",2 с/у и более,,,3,90 000 000〒
Есильский,монолитный,Alan,2019,9,48.8 м²,,,,2,34 999 999〒
Есильский,кирпичный,,2025,5,"68.4 м², Площадь кухни — 10.5 м²",совмещенный,,свежий ремонт,2,28 000 000〒
Алматы,монолитный,Виктория,2009,3,100.6 м²,,паркинг,,4,52 000 000〒
Есильский,монолитный,Nexpo Aura,2026,,211.18 м²,2 с/у и более,,,5,
Нура,кирпичный,GreenLine. Verda,2026,,100.12 м²,2 с/у и более,,,3,
Нура,монолитный,Delta,2025,,116.8 м²,совмещенный,,,4,
Алматы,монолитный,Austria,2024,3,84 м²,2 с/у и более,,,3,113 500 000〒
Есильский,монолитный,Jetisu.Nauryz,2026,2,"38.11 м², Площадь кухни — 5.6 м²",,,требует ремонта,2,24 500 000〒
Нура,монолитный,Arena Style,2026,6,73 м²,,паркинг,,3,51 000 000〒
Сарайшык,монолитный,Bravo Family,2022,18,83 м²,,,черновая отделка,3,45 500 000〒
Сарайшык,монолитный,A-City,2025,3,42 м²,,,черновая отделка,1,20 000 000〒
Байконур,монолитный,DARMEN,2026,8,57 м²,,,черновая отделка,2,37 000 000〒
Есильский,монолитный,Jetisu Kerbez Comfort,2026,11,68 м²,,,,3,42 000 000〒
Сарыарка,,,2026,5,50.6 м²,совмещенный,,,2,25 500 000〒
Байконур,кирпичный,,2001,3,173 м²,2 с/у и более,,"не новый, но аккуратный ремонт",3,120 000 000〒
Сарыарка,кирпичный,,1981,5,"35 м², Площадь кухни — 10 м²",совмещенный,,,1,23 000 000〒
Нура,монолитный,Baizaman,2026,,89.91 м²,2 с/у и более,,,3,
Нура,монолитный,Respublika,2026,,85.2 м²,2 с/у и более,,,3,
Сарыарка,панельный,,1982,1,"32 м², Площадь кухни — 7 м²",совмещенный,,"не новый, но аккуратный ремонт",1,14 000 000〒
Сарыарка,панельный,,1982,1,"32 м², Площадь кухни — 7 м²",совмещенный,,"не новый, но аккуратный ремонт",1,14 000 000〒
Алматы,кирпичный,Достар-2,2011,9,"57.2 м², Площадь кухни — 13 м²",,,"не новый, но аккуратный ремонт",2,30 500 000〒
Есильский,монолитный,One House,2026,2,"59 м², Площадь кухни — 10.3 м²",,,черновая отделка,2,35 000 000〒
Есильский,монолитный,Apple City,2020,3,"43.3 м², Площадь кухни — 13.2 м²",,,"не новый, но аккуратный ремонт",1,29 500 000〒
Сарыарка,кирпичный,Rio de Janeiro,2023,4,55 м²,,паркинг,,2,32 500 000〒
Байконур,кирпичный,Daryn,2023,2,"62 м², Площадь кухни — 19 м²",раздельный,,,2,41 500 000〒
Сарайшык,монолитный,Auez,2026,,62.64 м²,совмещенный,,,2,
Есильский,кирпичный,Istanbul,2025,5,"84 м², Площадь кухни — 14 м²",2 с/у и более,,,3,59 900 000〒
Сарыарка,кирпичный,,2000,3,"100 м², Площадь кухни — 12 м²",раздельный,,,3,55 500 000〒
Сарайшык,кирпичный,Ansau,2025,6,64 м²,,паркинг,,2,34 500 000〒
Сарайшык,кирпичный,Dauys,2025,6,53 м²,,,свежий ремонт,2,39 000 000〒
Нура,монолитный,Shabyt,2023,20,45 м²,,,свежий ремонт,2,37 900 000〒
Алматы,монолитный,Жастар-4,2021,3,60 м²,раздельный,,,2,31 000 000〒
Есильский,монолитный,Авиценна-2,2017,15,77 м²,,,свежий ремонт,2,52 000 000〒
Есильский,кирпичный,Arai Towers,2025,4,67.6 м²,,,свежий ремонт,3,59 500 000〒
Алматы,кирпичный,,2005,2,"124.1 м², Площадь кухни — 18 м²",2 с/у и более,,"не новый, но аккуратный ремонт",4,49 500 000〒
Алматы,кирпичный,Adam Armany,2023,9,"136.5 м², Площадь кухни — 21 м²",,,черновая отделка,3,49 000 000〒
Нура,монолитный,Алтын Саулет,2025,14,43 м²,,,черновая отделка,1,23 499 000〒
Есильский,кирпичный,Alma Park,2022,1,"90 м², Площадь кухни — 16 м²",,,свежий ремонт,3,75 000 000〒
Сарайшык,монолитный,Bestogai,2026,,81.83 м²,совмещенный,,,3,
Есильский,кирпичный,Alma Park,2022,1,"90 м², Площадь кухни — 16 м²",,,свежий ремонт,3,75 000 000〒
Сарайшык,монолитный,Bestogai,2026,,81.83 м²,совмещенный,,,3,
Есильский,монолитный,Capital Park. Art,2026,,148.37 м²,2 с/у и более,,,4,
Сарайшык,монолитный,Isma,2025,,68.19 м²,совмещенный,,,2,
Нура,монолитный,Respublika,2026,,39.7 м²,совмещенный,,,1,
Есильский,монолитный,Дипломат,2009,4,206.8 м²,2 с/у и более,,,5,82 000 000〒
Алматы,кирпичный,,1994,6,"50 м², Площадь кухни — 9 м²",раздельный,,,2,22 000 000〒
Есильский,монолитный,Atlant,2021,8,191 м²,,,свежий ремонт,5,300 000 000〒
Нура,монолитный,Аниса,2015,4,"80 м², Площадь кухни — 6 м²",раздельный,,,3,43 800 000〒
Алматы,кирпичный,BURABAY-2,2024,5,66.37 м²,раздельный,,,2,30 000 000〒
Нура,монолитный,Sultan Beibarys,2025,7,"69 м², Площадь кухни — 11.42 м²",совмещенный,,,2,48 500 000〒
Сарыарка,монолитный,KHAN RESIDENCE,2024,,45 м²,совмещенный,,,1,
Алматы,монолитный,Французский Квартал,2017,2,82 м²,2 с/у и более,,,3,58 000 000〒
Нура,монолитный,Aruna City,2022,3,70 м²,,паркинг,,2,47 500 000〒
Алматы,панельный,,1972,5,42.9 м²,совмещенный,,свежий ремонт,2,25 000 000〒
Алматы,кирпичный,Арыстан,2025,9,"175 м², Площадь кухни — 18 м²",,,черновая отделка,4,55 000 000〒
Алматы,панельный,,1997,6,"49 м², Площадь кухни — 8 м²",,,,2,25 000 000〒
Нура,кирпичный,GreenLine. Verda,2026,,140.81 м²,2 с/у и более,,,4,
Нура,монолитный,GreenLine. 4YOU,2026,,162.47 м²,2 с/у и более,,,5,
Байконур,монолитный,Рахат,2009,5,"67.1 м², Площадь кухни — 15.7 м²",,паркинг,,2,26 000 000〒
Нура,кирпичный,GreenLine. Verda,2026,,140.81 м²,2 с/у и более,,,4,
Нура,монолитный,GreenLine. 4YOU,2026,,162.47 м²,2 с/у и более,,,5,
Байконур,монолитный,Рахат,2009,5,"67.1 м², Площадь кухни — 15.7 м²",,паркинг,,2,26 000 000〒
Нура,монолитный,Алтын Саулет,2025,4,47 м²,,,свежий ремонт,2,31 000 000〒
Алматы,кирпичный,Молодежный,2023,9,"42 м², Площадь кухни — 10 м²",,,свежий ремонт,1,22 900 000〒
Есильский,кирпичный,Sati Park House,2025,7,45.2 м²,совмещенный,,,2,36 000 000〒
Алматы,кирпичный,Железнодорожный,2010,5,"68 м², Площадь кухни — 10 м²",,,свежий ремонт,2,26 500 000〒
Есильский,монолитный,Бухар Жырау,2023,14,46 м²,,,,1,33 500 000〒
Сарайшык,монолитный,Muz Tau,2025,6,33 м²,,паркинг,,1,16 500 000〒
Есильский,монолитный,Asylym,2023,7,140 м²,,паркинг,,4,145 000 000〒
Нура,монолитный,UIA.DARYN,2026,,81.13 м²,2 с/у и более,,,3,
Есильский,кирпичный,Abat,2026,4,40 м²,,,свежий ремонт,2,38 000 000〒
Есильский,монолитный,DOS,2025,7,40 м²,,,свежий ремонт,2,37 500 000〒
Алматы,монолитный,София,2022,8,"38 м², Площадь кухни — 6 м²",совмещенный,,,1,24 500 000〒
Алматы,монолитный,,2020,21,"60 м², Площадь кухни — 10 м²",совмещенный,,,2,30 400 000〒
Нура,монолитный,Turan Life,2023,16,41.7 м²,,,свежий ремонт,1,30 500 000〒
Алматы,кирпичный,Асти-строй,2007,2,"110 м², Площадь кухни — 16 м²",,,"не новый, но аккуратный ремонт",3,44 000 000〒
Сарыарка,монолитный,KINGS LAND Residence,2023,2,142 м²,,паркинг,,4,129 000 000〒
Алматы,кирпичный,Марс,2019,1,"91 м², Площадь кухни — 9 м²",,,свежий ремонт,3,42 500 000〒
Есильский,кирпичный,OLEN,2024,12,"40.9 м², Площадь кухни — 3.6 м²",,,свежий ремонт,2,36 000 000〒
Есильский,кирпичный,OLEN,2024,12,"40.9 м², Площадь кухни — 3.6 м²",,,свежий ремонт,2,36 000 000〒
Есильский,,Arti7,2025,6,62.13 м²,,,,2,33 000 000〒
Нура,иной,Space,2025,10,60 м²,,,свежий ремонт,2,42 500 000〒
Сарайшык,монолитный,Isma,2025,,122.06 м²,2 с/у и более,,,3,
Сарайшык,кирпичный,Sardar Compass,2025,,37.42 м²,совмещенный,,,1,
Нура,,Respublika,2025,9,68 м²,совмещенный,,,3,48 000 000〒
Нура,монолитный,Кристалл,2016,7,"64.1 м², Площадь кухни — 20 м²",,,свежий ремонт,3,40 000 000〒
Алматы,монолитный,Сенатор-2,2019,11,"87.7 м², Площадь кухни — 13 м²",,,"не новый, но аккуратный ремонт",3,65 000 000〒
Есильский,монолитный,Самрук Towers,2018,24,"66.4 м², Площадь кухни — 7.6 м²",,,"не новый, но аккуратный ремонт",2,35 999 999〒
Сарыарка,монолитный,Abai Joly,2025,8,36.5 м²,,,черновая отделка,1,23 500 000〒
Алматы,монолитный,Qazyna,2023,8,"83 м², Площадь кухни — 11.7 м²",,,свежий ремонт,3,85 000 000〒
Алматы,кирпичный,DOMBYRA,2024,5,121 м²,2 с/у и более,,,4,97 500 000〒
Сарыарка,монолитный,Авангард,2009,13,"96 м², Площадь кухни — 16 м²",,,"не новый, но аккуратный ремонт",3,51 500 000〒
Алматы,кирпичный,Geneva 1,2024,11,"75 м², Площадь кухни — 16 м²",,,черновая отделка,2,36 000 000〒
Сарыарка,кирпичный,,1978,3,65.2 м²,раздельный,,,3,25 500 000〒
,монолитный,Алтын Саулет,2024,2,"41 м², Площадь кухни — 14 м²",совмещенный,,,2,21 500 000〒
Есильский,монолитный,Jetisu.Kerbez,2024,2,"67.6 м², Площадь кухни — 9.1 м²",,,свежий ремонт,2,42 500 000〒
Сарыарка,кирпичный,,2011,3,"70 м², Площадь кухни — 12 м²",раздельный,,"не новый, но аккуратный ремонт",3,34 000 000〒
Есильский,монолитный,Jetisu.Aspan,2026,,67.07 м²,совмещенный,,,2,
Сарыарка,монолитный,Turan Plaza,2027,,75.5 м²,совмещенный,,,2,
Есильский,монолитный,Jetisu.Kerbez,2024,2,"67.6 м², Площадь кухни — 9.1 м²",,,свежий ремонт,2,42 500 000〒
Сарыарка,кирпичный,,2011,3,"70 м², Площадь кухни — 12 м²",раздельный,,"не новый, но аккуратный ремонт",3,34 000 000〒
Есильский,монолитный,Jetisu.Aspan,2026,,67.07 м²,совмещенный,,,2,
Сарыарка,монолитный,Turan Plaza,2027,,75.5 м²,совмещенный,,,2,
Сарыарка,кирпичный,,2007,10,"41 м², Площадь кухни — 12.7 м²",раздельный,,"не новый, но аккуратный ремонт",1,21 800 000〒
Нура,кирпичный,ABADAN,2025,5,58.4 м²,,,свежий ремонт,3,36 900 000〒
Алматы,кирпичный,TAMASHA,2020,3,37 м²,,,свежий ремонт,2,31 399 000〒
Нура,кирпичный,Атамари,2025,2,"68.9 м², Площадь кухни — 12 м²",,,черновая отделка,2,34 800 000〒
Нура,,Arena Unity,2025,5,"34 м², Площадь кухни — 9 м²",совмещенный,,,1,30 000 000〒
Сарыарка,монолитный,Grand Alatau,2010,28,"240 м², Площадь кухни — 20 м²",2 с/у и более,,,7,149 000 000〒
Алматы,кирпичный,Степной-1,2008,10,"68.8 м², Площадь кухни — 12 м²",,,"не новый, но аккуратный ремонт",3,32 000 000〒
Сарыарка,кирпичный,Сапа 2007,2011,3,"66.6 м², Площадь кухни — 30 м²",,,свежий ремонт,3,32 500 000〒
Байконур,,Aqyn Abai,2025,9,"110.3 м², Площадь кухни — 13 м²",2 с/у и более,,,4,45 000 000〒
Сарайшык,монолитный,Bravo Family,2020,3,"60 м², Площадь кухни — 11 м²",,паркинг,,2,37 900 000〒
Алматы,кирпичный,,2014,8,"61.4 м², Площадь кухни — 10 м²",совмещенный,,,2,26 000 000〒
Байконур,кирпичный,,1986,6,"100 м², Площадь кухни — 9.1 м²",раздельный,,,5,43 000 000〒
Нура,монолитный,Respublika,2026,,38.6 м²,совмещенный,,,1,
Сарайшык,кирпичный,Geneva 1,2022,12,90 м²,,,свежий ремонт,3,65 990 000〒
Есильский,кирпичный,Family Park,2020,5,102 м²,совмещенный,,,3,35 000 000〒
Алматы,кирпичный,TAMASHA,2025,8,"92 м², Площадь кухни — 13.98 м²",,,черновая отделка,3,60 000 000〒
Есильский,монолитный,Улы Дала Авеню,2024,11,"90 м², Площадь кухни — 14 м²",2 с/у и более,,,3,73 900 000〒
Есильский,монолитный,Версаль,2010,10,"122.8 м², Площадь кухни — 19.2 м²",,,свежий ремонт,3,68 000 000〒
Алматы,монолитный,Premier Palace,2019,8,104 м²,,,свежий ремонт,3,77 000 000〒
Нура,кирпичный,Green Town,2024,6,39 м²,совмещенный,,,2,28 000 000〒
Есильский,монолитный,Angleterre,2021,4,63 м²,,паркинг,,2,46 500 000〒
Есильский,кирпичный,Люксембург,2022,9,"62 м², Площадь кухни — 10 м²",совмещенный,,,2,53 900 000〒
Нура,монолитный,Sauran,2023,7,"54 м², Площадь кухни — 9 м²",,,свежий ремонт,3,33 000 000〒
Сарыарка,кирпичный,Сайран,2007,8,41 м²,совмещенный,,,2,24 500 000〒
Алматы,кирпичный,Мкр Сарайшик,2015,1,79 м²,,,,3,36 900 000〒
Нура,кирпичный,Manhattan,2020,9,124.5 м²,2 с/у и более,,,4,92 900 000〒
Сарыарка,кирпичный,Novopolis,2020,2,42 м²,совмещенный,,,2,25 500 000〒
Алматы,монолитный,Кулан,2011,13,36 м²,,паркинг,,1,19 500 000〒
Есильский,кирпичный,,2020,3,31 м²,,,,1,15 200 000〒
Алматы,монолитный,Inju Promenade,2020,12,69 м²,,паркинг,,2,47 900 000〒
Алматы,монолитный,Магистральный,2013,7,80.4 м²,,паркинг,,3,37 900 000〒
Нура,монолитный,Sat City,2020,4,38.8 м²,,паркинг,,1,27 900 000〒
Сарыарка,кирпичный,Bronx (Бронкс),2019,2,"129.5 м², Площадь кухни — 23.7 м²",,,свежий ремонт,4,71 500 000〒
Нура,кирпичный,,2026,6,67.8 м²,,,,2,35 000 000〒
Алматы,иной,Sardar Family,2025,16,"38 м², Площадь кухни — 8.5 м²",,,черновая отделка,1,20 200 000〒
Сарайшык,монолитный,Гранд Астана,2011,4,"91.4 м², Площадь кухни — 13.3 м²",,,"не новый, но аккуратный ремонт",2,47 500 000〒
Сарыарка,кирпичный,Bronx (Бронкс),2019,2,"129.5 м², Площадь кухни — 23.7 м²",,,свежий ремонт,4,71 500 000〒
Нура,кирпичный,,2026,6,67.8 м²,,,,2,35 000 000〒
Алматы,иной,Sardar Family,2025,16,"38 м², Площадь кухни — 8.5 м²",,,черновая отделка,1,20 200 000〒
Сарайшык,монолитный,Гранд Астана,2011,4,"91.4 м², Площадь кухни — 13.3 м²",,,"не новый, но аккуратный ремонт",2,47 500 000〒
Есильский,монолитный,Jetisu.Aqsu,2023,2,40 м²,,,свежий ремонт,2,29 500 000〒
Нура,кирпичный,GreenLine. Verda,2026,,109.35 м²,2 с/у и более,,,3,
Нура,монолитный,Delta,2025,6,38 м²,,паркинг,,1,28 300 000〒
,кирпичный,Zurich,2024,3,44 м²,,,,1,21 500 000〒
Нура,монолитный,Citylake,2017,11,"75.1 м², Площадь кухни — 11.1 м²",раздельный,,,2,41 000 000〒
Сарайшык,монолитный,Namys,2026,,41.2 м²,совмещенный,,,1,
Есильский,монолитный,Hazar,2024,14,65 м²,,,свежий ремонт,2,53 000 000〒
Алматы,,,2016,1,76 м²,,,"не новый, но аккуратный ремонт",3,30 500 000〒
Сарыарка,кирпичный,Sharyn,2024,4,"80 м², Площадь кухни — 11 м²",2 с/у и более,,,3,49 500 000〒
Нура,монолитный,Sat City,2020,10,45 м²,совмещенный,,,2,35 500 000〒
Сарайшык,монолитный,Bestogai,2026,,56.63 м²,совмещенный,,,2,
Нура,монолитный,RAUDA,2024,,186 м²,2 с/у и более,,,5,
Байконур,кирпичный,Жар-Жар,2013,13,"60 м², Площадь кухни — 25 м²",раздельный,,,2,29 000 000〒
Алматы,кирпичный,СОЗАК,2022,2,"68.3 м², Площадь кухни — 14.3 м²",,,свежий ремонт,2,33 800 000〒
Нура,кирпичный,Mechta,2022,4,84 м²,,,свежий ремонт,3,65 000 000〒
Алматы,кирпичный,,2005,9,"109 м², Площадь кухни — 25 м²",совмещенный,,свежий ремонт,3,43 000 000〒
Есильский,монолитный,Северное сияние,2010,19,90 м²,2 с/у и более,,,2,45 500 000〒
Сарыарка,монолитный,Легенда,2023,8,43 м²,,,свежий ремонт,2,27 000 000〒
Алматы,кирпичный,Safar,2025,3,"75 м², Площадь кухни — 12 м²",,,черновая отделка,3,29 999 999〒
Нура,монолитный,GreenLine.Tokyo,2024,10,108 м²,,,свежий ремонт,3,140 000 000〒
Есильский,монолитный,Capital Park. Art,2026,,111.57 м²,2 с/у и более,,,3,
Нура,монолитный,UIA.DARYN,2026,,38.25 м²,совмещенный,,,1,
Есильский,монолитный,MoD. Urban,2025,,43.51 м²,совмещенный,,,1,
Байконур,кирпичный,,1965,4,48 м²,совмещенный,,свежий ремонт,2,18 000 000〒
Сарыарка,кирпичный,,2012,10,"58 м², Площадь кухни — 9 м²",раздельный,,,3,26 500 000〒
Алматы,монолитный,Atamura,2023,4,53 м²,,,свежий ремонт,2,32 000 000〒
Алматы,монолитный,Murager,2023,9,62 м²,совмещенный,,,3,47 000 000〒
Сарайшык,кирпичный,Мынжылдык,2022,2,85 м²,,,черновая отделка,2,37 500 000〒
Нура,кирпичный,Madrid 2,2023,3,37 м²,,,свежий ремонт,1,28 000 000〒
Нура,монолитный,Sat City,2020,8,"63.6 м², Площадь кухни — 12 м²",совмещенный,,,3,48 000 000〒
Нура,кирпичный,Champion,2021,3,"40.7 м², Площадь кухни — 6 м²",совмещенный,,,2,34 900 000〒
Сарыарка,кирпичный,,1984,4,43 м²,совмещенный,,"не новый, но аккуратный ремонт",2,21 000 000〒
Сарайшык,монолитный,Imran,2026,6,41 м²,,,черновая отделка,1,16 495 000〒
,,Sharyn,2024,9,50 м²,,,,2,35 000 000〒
